Año,Trimestre,Provincia,Banda ancha fija,Dial up,Total,Código INDEC_x,Código INDEC_y
2014,1,Buenos Aires,2725732,14144.0,2739876,6.0,6.0
2014,1,Ciudad Autónoma de Buenos Aires,1289204,10714.0,1299918,2.0,
2014,1,Catamarca,24209,23.0,24232,10.0,10.0
2014,1,Chaco,62520,36.0,62556,22.0,22.0
2014,1,Chubut,68205,2016.0,70221,26.0,26.0
2014,1,Córdoba,566705,205.0,566910,14.0,14.0
2014,1,Corrientes,62203,33.0,62236,18.0,18.0
2014,1,Entre Ríos,134216,115.0,134331,30.0,30.0
2014,1,Formosa,25335,87.0,25422,34.0,34.0
2014,1,Jujuy,33825,2.0,33827,38.0,38.0
2014,1,La Pampa,53601,592.0,54193,42.0,42.0
2014,1,La Rioja,15688,23.0,15711,46.0,46.0
2014,1,Mendoza,164084,1761.0,165845,50.0,50.0
2014,1,Misiones,73950,0.0,73950,54.0,54.0
2014,1,Neuquén,88077,2303.0,90380,58.0,58.0
2014,1,Río Negro,93909,1157.0,95066,62.0,62.0
2014,1,Salta,91265,25.0,91290,66.0,66.0
2014,1,San Juan,50543,755.0,51298,70.0,70.0
2014,1,San Luis,12193,364.0,12557,74.0,74.0
2014,1,Santa Cruz,26304,460.0,26764,78.0,78.0
2014,1,Santa Fe,506000,612.0,506612,82.0,82.0
2014,1,Santiago Del Estero,37124,9.0,37133,,
2014,1,Tierra Del Fuego,27272,766.0,28038,,
2014,1,Tucumán,129944,88.0,130032,94.0,94.0
2015,1,Buenos Aires,2847076,14766.0,2861842,6.0,6.0
2015,1,Ciudad Autónoma de Buenos Aires,1321139,11582.0,1332721,2.0,
2015,1,Catamarca,25312,20.0,25332,10.0,10.0
2015,1,Chaco,81329,31.0,81360,22.0,22.0
2015,1,Chubut,63327,1946.0,65273,26.0,26.0
2015,1,Córdoba,596663,294.0,596957,14.0,14.0
2015,1,Corrientes,81488,43.0,81531,18.0,18.0
2015,1,Entre Ríos,165839,231.0,166070,30.0,30.0
2015,1,Formosa,26657,43.0,26700,34.0,34.0
2015,1,Jujuy,36608,3.0,36611,38.0,38.0
2015,1,La Pampa,62155,542.0,62697,42.0,42.0
2015,1,La Rioja,16310,23.0,16333,46.0,46.0
2015,1,Mendoza,168355,1805.0,170160,50.0,50.0
