Año,Trimestre,Provincia,Accesos por cada 100 hogares,Código INDEC_x,Código INDEC_y
2024,1,Buenos Aires,81.1,6.0,6.0
2024,1,Ciudad Autónoma de Buenos Aires,119.53,2.0,
2024,1,Catamarca,68.82,10.0,10.0
2024,1,Chaco,46.7,22.0,22.0
2024,1,Chubut,84.89,26.0,26.0
2024,1,Córdoba,90.7,14.0,14.0
2024,1,Corrientes,51.94,18.0,18.0
2024,1,Entre Ríos,69.31,30.0,30.0
2024,1,Formosa,39.61,34.0,34.0
2024,1,Jujuy,57.65,38.0,38.0
2024,1,La Pampa,100.49,42.0,42.0
2024,1,La Rioja,80.03,46.0,46.0
2024,1,Mendoza,52.59,50.0,50.0
2024,1,Misiones,56.76,54.0,54.0
2024,1,Neuquén,79.5,58.0,58.0
2024,1,Río Negro,71.14,62.0,62.0
2024,1,Salta,56.3,66.0,66.0
2024,1,San Juan,51.62,70.0,70.0
2024,1,San Luis,102.7,74.0,74.0
2024,1,Santa Cruz,67.58,78.0,78.0
2024,1,Santa Fe,80.4,82.0,82.0
2024,1,Santiago Del Estero,49.41,,
2024,1,Tierra Del Fuego,109.78,,
2024,1,Tucumán,60.48,94.0,94.0
2023,4,Buenos Aires,80.96,6.0,6.0
2023,4,Ciudad Autónoma de Buenos Aires,117.02,2.0,
2023,4,Catamarca,68.63,10.0,10.0
2023,4,Chaco,44.35,22.0,22.0
2023,4,Chubut,84.96,26.0,26.0
2023,4,Córdoba,90.67,14.0,14.0
2023,4,Corrientes,52.56,18.0,18.0
2023,4,Entre Ríos,69.94,30.0,30.0
2023,4,Formosa,39.23,34.0,34.0
2023,4,Jujuy,57.78,38.0,38.0
2023,4,La Pampa,99.96,42.0,42.0
2023,4,La Rioja,80.22,46.0,46.0
2023,4,Mendoza,52.15,50.0,50.0
2023,4,Misiones,56.27,54.0,54.0
2023,4,Neuquén,79.91,58.0,58.0
2023,4,Río Negro,70.26,62.0,62.0
2023,4,Salta,56.98,66.0,66.0
2023,4,San Juan,50.08,70.0,70.0
2023,4,San Luis,102.07,74.0,74.0
2023,4,Santa Cruz,73.75,78.0,78.0
2023,4,Santa Fe,79.75,82.0,82.0
2023,4,Santiago Del Estero,49.08,,
2023,4,Tierra Del Fuego,110.49,,
2023,4,Tucumán,61.04,94.0,94.0
2023,3,Buenos Aires,80.64,6.0,6.0
2023,3,Ciudad Autónoma de Buenos Aires,116.4,2.0,
2023,3,Catamarca,68.55,10.0,10.0
2023,3,Chaco,42.87,22.0,22.0
2023,3,Chubut,84.23,26.0,26.0
2023,3,Córdoba,90.05,14.0,14.0
2023,3,Corrientes,52.78,18.0,18.0
2023,3,Entre Ríos,68.84,30.0,30.0
2023,3,Formosa,38.86,34.0,34.0
2023,3,Jujuy,57.61,38.0,38.0
2023,3,La Pampa,99.0,42.0,42.0
2023,3,La Rioja,80.44,46.0,46.0
2023,3,Mendoza,52.03,50.0,50.0
2023,3,Misiones,55.51,54.0,54.0
2023,3,Neuquén,79.97,58.0,58.0
2023,3,Río Negro,68.4,62.0,62.0
2023,3,Salta,57.57,66.0,66.0
2023,3,San Juan,50.45,70.0,70.0
2023,3,San Luis,98.55,74.0,74.0
2023,3,Santa Cruz,40.89,78.0,78.0
2023,3,Santa Fe,79.09,82.0,82.0
2023,3,Santiago Del Estero,48.67,,
2023,3,Tierra Del Fuego,105.95,,
2023,3,Tucumán,61.26,94.0,94.0
2023,2,Buenos Aires,79.67,6.0,6.0
2023,2,Ciudad Autónoma de Buenos Aires,115.48,2.0,
2023,2,Catamarca,67.42,10.0,10.0
2023,2,Chaco,42.87,22.0,22.0
2023,2,Chubut,82.49,26.0,26.0
2023,2,Córdoba,90.13,14.0,14.0
2023,2,Corrientes,52.37,18.0,18.0
