Año,Trimestre,Provincia,Accesos por cada 100 hab,Código INDEC_x,Código INDEC_y
2024,1,Buenos Aires,27.8,6.0,6.0
2024,1,Ciudad Autónoma de Buenos Aires,48.78,2.0,
2024,1,Catamarca,17.5,10.0,10.0
2024,1,Chaco,12.48,22.0,22.0
2024,1,Chubut,26.02,26.0,26.0
2024,1,Córdoba,27.77,14.0,14.0
2024,1,Corrientes,13.68,18.0,18.0
2024,1,Entre Ríos,20.72,30.0,30.0
2024,1,Formosa,10.08,34.0,34.0
2024,1,Jujuy,14.74,38.0,38.0
2024,1,La Pampa,33.11,42.0,42.0
2024,1,La Rioja,21.3,46.0,46.0
2024,1,Mendoza,14.67,50.0,50.0
2024,1,Misiones,15.46,54.0,54.0
2024,1,Neuquén,23.66,58.0,58.0
2024,1,Río Negro,21.88,62.0,62.0
2024,1,Salta,13.63,66.0,66.0
2024,1,San Juan,13.15,70.0,70.0
2024,1,San Luis,29.39,74.0,74.0
2024,1,Santa Cruz,20.1,78.0,78.0
2024,1,Santa Fe,25.28,82.0,82.0
2024,1,Santiago Del Estero,12.26,,
2024,1,Tierra Del Fuego,32.54,,
2024,1,Tucumán,14.98,94.0,94.0
2023,4,Buenos Aires,27.68,6.0,6.0
2023,4,Ciudad Autónoma de Buenos Aires,47.8,2.0,
2023,4,Catamarca,17.46,10.0,10.0
2023,4,Chaco,11.85,22.0,22.0
2023,4,Chubut,26.04,26.0,26.0
2023,4,Córdoba,27.76,14.0,14.0
2023,4,Corrientes,13.84,18.0,18.0
2023,4,Entre Ríos,20.91,30.0,30.0
2023,4,Formosa,9.98,34.0,34.0
2023,4,Jujuy,14.77,38.0,38.0
2023,4,La Pampa,32.93,42.0,42.0
2023,4,La Rioja,21.35,46.0,46.0
2023,4,Mendoza,14.55,50.0,50.0
2023,4,Misiones,15.33,54.0,54.0
2023,4,Neuquén,23.78,58.0,58.0
2023,4,Río Negro,21.61,62.0,62.0
2023,4,Salta,13.8,66.0,66.0
2023,4,San Juan,12.75,70.0,70.0
2023,4,San Luis,29.21,74.0,74.0
2023,4,Santa Cruz,21.94,78.0,78.0
2023,4,Santa Fe,25.08,82.0,82.0
2023,4,Santiago Del Estero,12.18,,
2023,4,Tierra Del Fuego,32.75,,
2023,4,Tucumán,15.12,94.0,94.0
2023,3,Buenos Aires,27.5,6.0,6.0
2023,3,Ciudad Autónoma de Buenos Aires,47.6,2.0,
2023,3,Catamarca,17.44,10.0,10.0
2023,3,Chaco,11.46,22.0,22.0
2023,3,Chubut,25.82,26.0,26.0
2023,3,Córdoba,27.57,14.0,14.0
2023,3,Corrientes,13.9,18.0,18.0
2023,3,Entre Ríos,20.58,30.0,30.0
2023,3,Formosa,9.89,34.0,34.0
2023,3,Jujuy,14.73,38.0,38.0
2023,3,La Pampa,32.62,42.0,42.0
2023,3,La Rioja,21.41,46.0,46.0
2023,3,Mendoza,14.52,50.0,50.0
2023,3,Misiones,15.12,54.0,54.0
2023,3,Neuquén,23.8,58.0,58.0
2023,3,Río Negro,21.04,62.0,62.0
2023,3,Salta,13.94,66.0,66.0
2023,3,San Juan,12.85,70.0,70.0
2023,3,San Luis,28.2,74.0,74.0
2023,3,Santa Cruz,12.17,78.0,78.0
2023,3,Santa Fe,24.87,82.0,82.0
2023,3,Santiago Del Estero,12.08,,
2023,3,Tierra Del Fuego,31.41,,
2023,3,Tucumán,15.17,94.0,94.0
2023,2,Buenos Aires,27.1,6.0,6.0
2023,2,Ciudad Autónoma de Buenos Aires,47.27,2.0,
2023,2,Catamarca,17.15,10.0,10.0
2023,2,Chaco,11.46,22.0,22.0
2023,2,Chubut,25.28,26.0,26.0
2023,2,Córdoba,27.59,14.0,14.0
2023,2,Corrientes,13.79,18.0,18.0
2023,2,Entre Ríos,19.26,30.0,30.0
2023,2,Formosa,9.75,34.0,34.0
2023,2,Jujuy,14.78,38.0,38.0
2023,2,La Pampa,32.4,42.0,42.0
2023,2,La Rioja,21.3,46.0,46.0
2023,2,Mendoza,14.54,50.0,50.0
2023,2,Misiones,15.03,54.0,54.0
2023,2,Neuquén,23.5,58.0,58.0
2023,2,Río Negro,21.09,62.0,62.0
2023,2,Salta,13.92,66.0,66.0
2023,2,San Juan,12.1,70.0,70.0
2023,2,San Luis,26.73,74.0,74.0
2023,2,Santa Cruz,12.39,78.0,78.0
2023,2,Santa Fe,24.79,82.0,82.0
2023,2,Santiago Del Estero,11.7,,
2023,2,Tierra Del Fuego,31.54,,
2023,2,Tucumán,15.05,94.0,94.0
2023,1,Buenos Aires,26.81,6.0,6.0
2023,1,Ciudad Autónoma de Buenos Aires,50.23,2.0,
2023,1,Catamarca,16.83,10.0,10.0
2023,1,Chaco,11.53,22.0,22.0
2023,1,Chubut,26.32,26.0,26.0
2023,1,Córdoba,27.2,14.0,14.0
2023,1,Corrientes,13.71,18.0,18.0
